Lexemes                                                      Tokens
-----------                                                  -----------
int                                                          reservedWord                                                
ac                                                           identifier                                                  
,                                                            comma                                                       
b                                                            invalidLexeme                                               
plus                                                         pluswordOp                                                  
x                                                            invalidLexeme                                               
;                                                            semicolon                                                   
sum                                                          identifier                                                  
=                                                            assignOp                                                    
a                                                            invalidLexeme                                               
+                                                            plusOp                                                      
b                                                            invalidLexeme                                               
;                                                            semicolon                                                   
x                                                            invalidLexeme                                               
++                                                           incrementOp                                                 
;                                                            semicolon                                                   
x                                                            invalidLexeme                                               
minus                                                        minuswordOp                                                 
y                                                            invalidLexeme                                               
;                                                            semicolon                                                   
y                                                            invalidLexeme                                               
notEqualTo                                                   notequalwordOp                                              
51                                                           int_literal                                                 
;                                                            semicolon                                                   
#comment                                                     invalidLexeme                                               
modulus                                                      noiseWord                                                   
;                                                            semicolon                                                   
wah                                                          identifier                                                  
is                                                           assignwordOp                                                
"this is a string"                                           string                                                      
;                                                            semicolon                                                   
